wavelength,flux
4047.410451,1.253474E-14
4050.365074,1.276615E-14
4053.319697,1.298779E-14
4056.274321,1.285908E-14
4059.228944,1.297265E-14
4062.183567,1.295693E-14
4065.13819,1.285084E-14
4068.092813,1.280822E-14
4071.047437,1.278852E-14
4074.00206,1.267485E-14
4076.956683,1.27632e-14
4079.911306,1.289407E-14
4082.86593,1.282431E-14
4085.820553,1.293686E-14
4088.775176,1.317858E-14
4091.729799,1.318746E-14
4094.684422,1.289684E-14
4097.639046,1.252774E-14
4100.593669,1.251532E-14
4103.548292,1.265999E-14
4106.502915,1.274391E-14
4109.457539,1.262137E-14
4112.412162,1.262433E-14
4115.366785,1.258123E-14
4118.321408,1.235258E-14
4121.276031,1.233537E-14
4124.230655,1.255155E-14
4127.185278,1.264121E-14
4130.139901,1.235215E-14
4133.094524,1.216364E-14
4136.049148,1.250643E-14
4139.003771,1.270015E-14
4141.958394,1.253324E-14
4144.913017,1.233137E-14
4147.86764,1.22185e-14
4150.822264,1.22019e-14
4153.776887,1.239316E-14
4156.73151,1.258593E-14
4159.686133,1.255699E-14
4162.640757,1.237614E-14
4165.59538,1.226807E-14
4168.550003,1.242444E-14
4171.504626,1.250066E-14
4174.459249,1.237143E-14
4177.413873,1.240269E-14
4180.368496,1.221389E-14
4183.323119,1.221705E-14
4186.277742,1.247709E-14
4189.232366,1.264829E-14
4192.186989,1.237702E-14
4195.141612,1.229243E-14
4198.096235,1.265874E-14
4201.050858,1.271262E-14
4204.005482,1.26364e-14
4206.960105,1.266821E-14
4209.914728,1.263951E-14
4212.869351,1.264505E-14
4215.823975,1.278051E-14
4218.778598,1.271274E-14
4221.733221,1.26162e-14
4224.687844,1.255681E-14
4227.642467,1.259779E-14
4230.597091,1.260328E-14
4233.551714,1.272379E-14
4236.506337,1.270476E-14
4239.46096,1.270834E-14
4242.415584,1.268115E-14
4245.370207,1.280805E-14
4248.32483,1.298285E-14
4251.279453,1.275632E-14
4254.234076,1.244202E-14
4257.1887,1.261303E-14
4260.143323,1.2963e-14
4263.097946,1.29468e-14
4266.052569,1.284283E-14
4271.961816,1.274442E-14
4274.916439,1.270875E-14
4277.871062,1.276597E-14
4280.825686,1.271284E-14
4283.780309,1.281307E-14
4286.734932,1.299404E-14
4289.689555,1.282856E-14
4292.644178,1.265847E-14
4295.598802,1.267116E-14
4298.553425,1.264402E-14
4301.508048,1.274207E-14
4304.462671,1.266373E-14
4307.417295,1.26889e-14
4310.371918,1.266017E-14
4313.326541,1.255334E-14
4316.281164,1.255219E-14
4319.235787,1.268759E-14
4322.190411,1.274291E-14
4325.145034,1.278364E-14
4328.099657,1.28364e-14
4331.05428,1.265994E-14
4334.008904,1.254704E-14
4336.963527,1.259506E-14
4339.91815,1.260729E-14
4342.872773,1.268297E-14
4345.827396,1.269941E-14
4348.78202,1.262896E-14
4351.736643,1.261315E-14
4354.691266,1.256791E-14
4357.645889,1.255949E-14
4360.600513,1.263365E-14
4363.555136,1.267847E-14
4366.509759,1.265264E-14
4369.464382,1.240457E-14
4372.419005,1.230592E-14
4375.373629,1.25005e-14
4378.328252,1.240399E-14
4381.282875,1.234998E-14
4384.237498,1.255642E-14
4387.192122,1.247967E-14
4390.146745,1.235786E-14
4393.101368,1.237665E-14
4396.055991,1.242646E-14
4399.010614,1.23265e-14
4401.965238,1.225787E-14
4404.919861,1.225687E-14
4407.874484,1.230434E-14
4410.829107,1.239178E-14
4413.783731,1.237712E-14
4416.738354,1.238413E-14
4419.692977,1.251958E-14
4422.6476,1.241646E-14
4425.602223,1.228042E-14
4428.556847,1.230438E-14
4431.51147,1.250973E-14
4434.466093,1.26642e-14
4437.420716,1.271904E-14
4440.37534,1.266347E-14
4443.329963,1.256511E-14
4446.284586,1.259819E-14
4449.239209,1.272539E-14
4452.193832,1.271796E-14
4455.148456,1.272239E-14
4458.103079,1.268449E-14
4461.057702,1.260444E-14
4464.012325,1.258404E-14
4466.966949,1.261265E-14
4469.921572,1.25923e-14
4472.876195,1.257302E-14
4475.830818,1.272478E-14
4478.785441,1.301945E-14
4481.740065,1.302087E-14
4484.694688,1.281994E-14
4487.649311,1.277608E-14
4490.603934,1.292147E-14
4493.558558,1.308209E-14
4496.513181,1.307588E-14
4499.467804,1.309396E-14
4502.422427,1.310594E-14
4505.37705,1.309822E-14
4508.331674,1.32217e-14
4511.286297,1.326488E-14
4514.24092,1.330711E-14
4517.195543,1.331365E-14
4520.150167,1.336011E-14
4523.10479,1.335829E-14
4526.059413,1.341248E-14
4529.014036,1.349632E-14
4531.968659,1.335717E-14
4534.923283,1.311387E-14
4537.877906,1.32778e-14
4540.832529,1.340791E-14
4543.787152,1.330043E-14
4546.741776,1.324412E-14
4549.696399,1.324915E-14
4552.651022,1.338715E-14
4555.605645,1.349869E-14
4558.560268,1.340006E-14
4561.514892,1.32929e-14
4564.469515,1.337746E-14
4567.424138,1.32408e-14
4570.378761,1.319593E-14
4573.333385,1.336995E-14
4576.288008,1.334892E-14
4579.242631,1.327144E-14
4582.197254,1.316625E-14
4585.151877,1.31449e-14
4588.106501,1.305043E-14
4591.061124,1.30799e-14
4594.015747,1.312622E-14
4596.97037,1.314508E-14
4599.924994,1.312118E-14
4602.879617,1.295106E-14
4605.83424,1.28588e-14
4608.788863,1.283708E-14
4611.743486,1.283238E-14
4614.69811,1.272044E-14
4617.652733,1.267422E-14
4620.607356,1.268142E-14
4623.561979,1.298662E-14
4626.516603,1.30187e-14
4629.471226,1.293326E-14
4632.425849,1.279952E-14
4635.380472,1.271406E-14
4638.335095,1.273348E-14
4641.289719,1.274099E-14
4644.244342,1.275851E-14
4647.198965,1.285132E-14
4650.153588,1.284943E-14
4653.108212,1.272036E-14
4656.062835,1.268826E-14
4659.017458,1.270538E-14
4661.972081,1.266473E-14
4664.926704,1.256032E-14
4667.881328,1.255858E-14
4670.835951,1.259552E-14
4673.790574,1.257801E-14
4676.745197,1.260924E-14
4679.699821,1.261803E-14
4682.654444,1.252588E-14
4685.609067,1.238483E-14
4688.56369,1.235213E-14
4691.518313,1.247524E-14
4694.472937,1.259175E-14
4697.42756,1.254066E-14
4700.382183,1.238507E-14
4703.336806,1.225249E-14
4706.29143,1.232414E-14
4709.246053,1.24028e-14
4712.200676,1.247125E-14
4715.155299,1.25382e-14
4718.109922,1.260805E-14
4721.064546,1.259718E-14
4724.019169,1.248911E-14
4726.973792,1.238884E-14
4729.928415,1.241162E-14
4732.883039,1.251447E-14
4735.837662,1.253182E-14
4738.792285,1.252414E-14
4741.746908,1.265016E-14
4744.701531,1.263354E-14
4747.656155,1.264526E-14
4750.610778,1.262256E-14
4753.565401,1.249256E-14
4756.520024,1.26194e-14
4759.474648,1.265399E-14
4762.429271,1.248872E-14
4765.383894,1.262293E-14
4768.338517,1.26715e-14
4771.29314,1.245101E-14
4774.247764,1.254506E-14
4777.202387,1.270644E-14
4780.15701,1.258175E-14
4783.111633,1.265895E-14
4786.066257,1.282512E-14
4789.02088,1.269942E-14
4791.975503,1.266605E-14
4794.930126,1.27763e-14
4797.884749,1.269802E-14
4800.839373,1.271253E-14
4803.793996,1.278198E-14
4806.748619,1.27131e-14
4809.703242,1.261179E-14
4812.657866,1.255367E-14
4815.612489,1.267765E-14
4818.567112,1.289601E-14
4821.521735,1.293253E-14
4824.476358,1.296218E-14
4827.430982,1.293986E-14
4830.385605,1.277523E-14
4833.340228,1.274104E-14
4836.294851,1.289104E-14
4839.249475,1.289717E-14
4842.204098,1.292065E-14
4845.158721,1.302606E-14
4848.113344,1.296155E-14
4851.067967,1.283919E-14
4854.022591,1.278805E-14
4856.977214,1.291988E-14
4859.931837,1.297586E-14
4862.88646,1.297675E-14
4865.841084,1.311127E-14
4868.795707,1.313306E-14
4871.75033,1.317946E-14
4874.704953,1.321414E-14
4877.659576,1.315124E-14
4880.6142,1.314827E-14
4883.568823,1.332463E-14
4886.523446,1.329015E-14
4889.478069,1.322079E-14
4892.432693,1.321946E-14
4895.387316,1.315581E-14
4898.341939,1.320373E-14
4901.296562,1.332274E-14
4904.251185,1.331058E-14
4907.205809,1.342025E-14
4910.160432,1.349244E-14
4913.115055,1.336035E-14
4916.069678,1.340871E-14
4919.024302,1.341621E-14
4921.978925,1.33807e-14
4924.933548,1.330449E-14
4927.888171,1.335077E-14
4930.842794,1.3464e-14
4933.797418,1.344478E-14
4936.752041,1.348305E-14
