time,lbol
0.4869675251658631, 1.3703834506631399e+42
0.5725487884358376, 1.024533859387197e+42
0.8582103543253414, 6.951927961775421e+41
1.1757432659207103, 4.951500669472985e+41
1.4855080171727744, 4.28133239871929e+41
1.7943462442492462, 3.442247595686008e+41
2.053525026457145, 2.9763514416312643e+41
2.3290965924605445, 2.701338121132922e+41
2.641648320386091, 2.4517358879792216e+41
2.94272717620928, 2.2797894356434928e+41
3.278121151393457, 2.2797894356434928e+41
3.554522355611886, 1.8779508018514453e+41
3.8542288686231045, 1.5469407652461733e+41
4.179205723175298, 1.3703834506631399e+41
4.450794062355993, 1.1849068510006297e+41
4.740031742312115, 1.024533859387197e+41
5.048065716667468, 9.298674652605063e+40
5.424690937011324, 9.76053637307877e+40
5.725487884358376, 9.76053637307877e+40
6.264335366568853, 8.040131611167594e+40
6.671427180413492, 7.297227644686184e+40
7.104974114426783, 6.622967617148163e+40
7.566695371401152, 5.867067065992935e+40
7.986265609715327, 5.072980090653613e+40
8.50525815443995, 4.717199138213166e+40
8.659643233600649, 4.604239376758694e+40
9.1398169946549, 4.386370005779464e+40
10.090350448414469, 3.792690190732145e+40
10.554496008786025, 3.27936285902081e+40
11.139738599948007, 2.905078650510787e+40
11.86366159050334, 2.767612370754163e+40
12.863969449369739, 2.3930257311804554e+40
20.53525026457145, 2.335721469090064e+39
21.86974655009469, 2.5735127000168362e+39
25.94552721404014, 1.473740615582457e+39
43.32302267358792, 8.040131611167595e+38
74.98942093324547, 1.305537869023006e+38
